"No.20"
"Time","Temperature"
"2020/11/5 18:41:26",2.800000E+01
"2020/11/5 18:41:31",2.780000E+01
"2020/11/5 18:41:36",3.010000E+01
"2020/11/5 18:41:41",3.350000E+01
"2020/11/5 18:41:46",3.610000E+01
"2020/11/5 18:41:51",3.800000E+01
"2020/11/5 18:41:56",4.000000E+01
"2020/11/5 18:42:01",4.160000E+01
"2020/11/5 18:42:06",4.290000E+01
"2020/11/5 18:42:11",4.490000E+01
"2020/11/5 18:42:16",4.550000E+01
"2020/11/5 18:42:21",4.690000E+01
"2020/11/5 18:42:26",4.760000E+01
"2020/11/5 18:42:31",4.810000E+01
"2020/11/5 18:42:36",4.860000E+01
"2020/11/5 18:42:41",5.030000E+01
"2020/11/5 18:42:46",5.100000E+01
"2020/11/5 18:42:51",5.190000E+01
"2020/11/5 18:42:56",5.310000E+01
"2020/11/5 18:43:01",5.390000E+01
"2020/11/5 18:43:06",5.420000E+01
"2020/11/5 18:43:11",5.410000E+01
"2020/11/5 18:43:16",5.310000E+01
"2020/11/5 18:43:21",5.320000E+01
"2020/11/5 18:43:26",5.220000E+01
"2020/11/5 18:43:31",5.190000E+01
"2020/11/5 18:43:36",5.130000E+01
"2020/11/5 18:43:41",5.150000E+01
"2020/11/5 18:43:46",5.130000E+01
"2020/11/5 18:43:51",5.150000E+01
"2020/11/5 18:43:56",5.140000E+01
"2020/11/5 18:44:01",5.120000E+01
"2020/11/5 18:44:06",5.220000E+01
"2020/11/5 18:44:11",5.220000E+01
"2020/11/5 18:44:16",5.230000E+01
"2020/11/5 18:44:21",5.240000E+01
"2020/11/5 18:44:26",5.280000E+01
"2020/11/5 18:44:31",5.270000E+01
"2020/11/5 18:44:36",5.270000E+01
"2020/11/5 18:44:41",5.310000E+01
"2020/11/5 18:44:46",5.310000E+01
"2020/11/5 18:44:51",5.330000E+01
"2020/11/5 18:44:56",5.360000E+01
"2020/11/5 18:45:01",5.350000E+01
"2020/11/5 18:45:06",5.370000E+01
"2020/11/5 18:45:11",5.340000E+01
"2020/11/5 18:45:16",5.360000E+01
"2020/11/5 18:45:21",5.360000E+01
"2020/11/5 18:45:26",5.390000E+01
"2020/11/5 18:45:31",5.440000E+01
"2020/11/5 18:45:36",5.410000E+01
"2020/11/5 18:45:41",5.450000E+01
"2020/11/5 18:45:46",5.420000E+01
"2020/11/5 18:45:51",5.420000E+01
"2020/11/5 18:45:56",5.420000E+01
"2020/11/5 18:46:01",5.440000E+01
"2020/11/5 18:46:06",5.390000E+01
"2020/11/5 18:46:11",5.390000E+01
"2020/11/5 18:46:16",5.380000E+01
"2020/11/5 18:46:21",5.420000E+01
"2020/11/5 18:46:26",5.420000E+01
"2020/11/5 18:46:31",5.370000E+01
"2020/11/5 18:46:36",5.380000E+01
"2020/11/5 18:46:41",5.390000E+01
"2020/11/5 18:46:46",5.410000E+01
"2020/11/5 18:46:51",5.370000E+01
"2020/11/5 18:46:56",5.380000E+01
"2020/11/5 18:47:01",5.370000E+01
"2020/11/5 18:47:06",5.370000E+01
"2020/11/5 18:47:11",5.390000E+01
"2020/11/5 18:47:16",5.360000E+01
"2020/11/5 18:47:21",5.400000E+01
"2020/11/5 18:47:26",5.400000E+01
"2020/11/5 18:47:31",5.360000E+01
"2020/11/5 18:47:36",5.380000E+01
"2020/11/5 18:47:41",5.380000E+01
"2020/11/5 18:47:46",5.400000E+01
"2020/11/5 18:47:51",5.390000E+01
"2020/11/5 18:47:56",5.380000E+01
"2020/11/5 18:48:01",5.360000E+01
"2020/11/5 18:48:06",5.360000E+01
"2020/11/5 18:48:11",5.360000E+01
"2020/11/5 18:48:16",5.370000E+01
"2020/11/5 18:48:21",5.370000E+01
"2020/11/5 18:48:26",5.360000E+01
"2020/11/5 18:48:31",5.340000E+01
"2020/11/5 18:48:36",5.340000E+01
"2020/11/5 18:48:41",5.360000E+01
