"No.20"
"Time","Temperature"
"2021/1/22 10:09:10",3.410000E+01
"2021/1/22 10:09:15",3.310000E+01
"2021/1/22 10:09:20",3.470000E+01
"2021/1/22 10:09:25",3.900000E+01
"2021/1/22 10:09:30",4.330000E+01
"2021/1/22 10:09:35",4.540000E+01
"2021/1/22 10:09:40",4.800000E+01
"2021/1/22 10:09:45",5.000000E+01
"2021/1/22 10:09:50",5.140000E+01
"2021/1/22 10:09:55",5.330000E+01
"2021/1/22 10:10:00",5.390000E+01
"2021/1/22 10:10:05",5.500000E+01
"2021/1/22 10:10:10",5.710000E+01
"2021/1/22 10:10:15",5.740000E+01
"2021/1/22 10:10:20",5.850000E+01
"2021/1/22 10:10:25",5.920000E+01
"2021/1/22 10:10:30",5.880000E+01
"2021/1/22 10:10:35",5.860000E+01
"2021/1/22 10:10:40",5.750000E+01
"2021/1/22 10:10:45",5.700000E+01
"2021/1/22 10:10:50",5.620000E+01
"2021/1/22 10:10:55",5.580000E+01
"2021/1/22 10:11:00",5.540000E+01
"2021/1/22 10:11:05",5.510000E+01
"2021/1/22 10:11:10",5.440000E+01
"2021/1/22 10:11:15",5.420000E+01
"2021/1/22 10:11:20",5.390000E+01
"2021/1/22 10:11:25",5.380000E+01
"2021/1/22 10:11:30",5.370000E+01
"2021/1/22 10:11:35",5.380000E+01
"2021/1/22 10:11:40",5.370000E+01
"2021/1/22 10:11:45",5.370000E+01
"2021/1/22 10:11:50",5.380000E+01
"2021/1/22 10:11:55",5.400000E+01
"2021/1/22 10:12:00",5.380000E+01
"2021/1/22 10:12:05",5.430000E+01
"2021/1/22 10:12:10",5.430000E+01
"2021/1/22 10:12:15",5.410000E+01
"2021/1/22 10:12:20",5.430000E+01
"2021/1/22 10:12:25",5.420000E+01
"2021/1/22 10:12:30",5.410000E+01
"2021/1/22 10:12:35",5.410000E+01
"2021/1/22 10:12:40",5.400000E+01
"2021/1/22 10:12:45",5.380000E+01
"2021/1/22 10:12:50",5.400000E+01
"2021/1/22 10:12:55",5.410000E+01
"2021/1/22 10:13:00",5.380000E+01
"2021/1/22 10:13:05",5.380000E+01
"2021/1/22 10:13:10",5.380000E+01
"2021/1/22 10:13:15",5.360000E+01
"2021/1/22 10:13:20",5.360000E+01
"2021/1/22 10:13:25",5.340000E+01
"2021/1/22 10:13:30",5.350000E+01
"2021/1/22 10:13:35",5.350000E+01
"2021/1/22 10:13:40",5.350000E+01
"2021/1/22 10:13:45",5.340000E+01
"2021/1/22 10:13:50",5.340000E+01
"2021/1/22 10:13:55",5.320000E+01
"2021/1/22 10:14:00",5.320000E+01
"2021/1/22 10:14:05",5.320000E+01
"2021/1/22 10:14:10",5.310000E+01
"2021/1/22 10:14:15",5.300000E+01
"2021/1/22 10:14:20",5.310000E+01
"2021/1/22 10:14:25",5.300000E+01
"2021/1/22 10:14:30",5.300000E+01
"2021/1/22 10:14:35",5.300000E+01
"2021/1/22 10:14:40",5.290000E+01
"2021/1/22 10:14:45",5.290000E+01
"2021/1/22 10:14:50",5.290000E+01
"2021/1/22 10:14:55",5.280000E+01
"2021/1/22 10:15:00",5.280000E+01
"2021/1/22 10:15:05",5.270000E+01
"2021/1/22 10:15:10",5.280000E+01
"2021/1/22 10:15:15",5.260000E+01
"2021/1/22 10:15:20",5.260000E+01
